"num_item_id","definition","type","category","18","19","20","21","22","23","24","25","26","27","28","29","30"
1,"Krokodil","word","animals",0.11,0.15,0.17,0.23,0.34,0.37,0.43,0.59,0.65,0.61,0.7,0.76,0.8
2,"Tier","word","animals",0.09,0.08,0.17,0.26,0.25,0.42,0.37,0.58,0.62,0.58,0.68,0.71,0.8
3,"Ameise","word","animals",0.06,0.13,0.12,0.22,0.22,0.31,0.37,0.49,0.52,0.51,0.55,0.65,0.75
4,"Bär","word","animals",0.27,0.38,0.48,0.6,0.58,0.79,0.71,0.79,0.85,0.82,0.86,0.91,0.95
5,"Giraffe","word","animals",0.05,0.16,0.16,0.26,0.34,0.42,0.46,0.6,0.61,0.65,0.73,0.79,0.85
6,"Schaf","word","animals",0.18,0.22,0.26,0.32,0.42,0.6,0.57,0.65,0.78,0.74,0.8,0.85,0.92
7,"Hase","word","animals",0.27,0.42,0.42,0.52,0.64,0.71,0.73,0.73,0.84,0.84,0.9,0.92,0.94
8,"Schmetterling","word","animals",0.02,0.11,0.11,0.21,0.32,0.4,0.47,0.47,0.7,0.62,0.67,0.8,0.77
9,"Schildkröte","word","animals",0.02,0.05,0.09,0.12,0.17,0.27,0.33,0.41,0.38,0.45,0.54,0.71,0.62
10,"Wolf","word","animals",0.05,0.05,0.06,0.06,0.15,0.19,0.12,0.27,0.25,0.38,0.31,0.51,0.44
11,"Zebra","word","animals",0.02,0.1,0.1,0.21,0.21,0.27,0.35,0.36,0.39,0.44,0.51,0.61,0.63
12,"Eule","word","animals",0.13,0.14,0.2,0.34,0.45,0.45,0.5,0.51,0.62,0.61,0.62,0.82,0.78
13,"Ente","word","animals",0.28,0.38,0.36,0.53,0.61,0.77,0.8,0.75,0.89,0.84,0.88,0.92,0.97
14,"Nilpferd","word","animals",0.02,0.04,0.05,0.1,0.07,0.26,0.25,0.38,0.34,0.36,0.4,0.54,0.58
15,"Spinne","word","animals",0.09,0.15,0.18,0.34,0.28,0.44,0.54,0.62,0.64,0.69,0.67,0.69,0.84
16,"Elefant","word","animals",0.18,0.15,0.21,0.31,0.41,0.61,0.59,0.72,0.82,0.74,0.84,0.89,0.95
17,"Fisch","word","animals",0.26,0.24,0.33,0.47,0.53,0.71,0.66,0.78,0.83,0.76,0.89,0.91,0.94
18,"Frosch","word","animals",0.07,0.15,0.19,0.29,0.41,0.52,0.56,0.59,0.68,0.66,0.8,0.84,0.89
19,"Vogel","word","animals",0.19,0.2,0.28,0.38,0.54,0.66,0.58,0.75,0.79,0.75,0.85,0.87,0.95
20,"Huhn","word","animals",0.14,0.25,0.22,0.31,0.47,0.53,0.5,0.6,0.62,0.67,0.75,0.81,0.85
21,"Pferd","word","animals",0.15,0.25,0.3,0.38,0.49,0.59,0.62,0.71,0.86,0.8,0.82,0.89,0.96
22,"Tiger","word","animals",0.13,0.14,0.27,0.31,0.45,0.53,0.46,0.55,0.61,0.67,0.72,0.78,0.87
23,"Küken","word","animals",0.09,0.05,0.08,0.19,0.23,0.34,0.24,0.39,0.38,0.43,0.48,0.6,0.62
24,"Kuh","word","animals",0.22,0.44,0.45,0.53,0.58,0.77,0.8,0.78,0.89,0.83,0.92,0.91,0.99
25,"Reh","word","animals",0.04,0.09,0.04,0.12,0.15,0.23,0.21,0.34,0.36,0.47,0.48,0.52,0.6
26,"Hund","word","animals",0.25,0.35,0.38,0.49,0.6,0.78,0.74,0.79,0.88,0.84,0.88,0.93,0.97
27,"Fliege","word","animals",0.09,0.1,0.2,0.27,0.22,0.34,0.5,0.62,0.72,0.67,0.69,0.78,0.8
28,"Igel","word","animals",0.12,0.18,0.2,0.35,0.38,0.52,0.46,0.55,0.61,0.65,0.69,0.74,0.85
29,"Schlange","word","animals",0.01,0.1,0.08,0.18,0.18,0.29,0.36,0.42,0.48,0.55,0.54,0.67,0.65
30,"Fuchs","word","animals",0.06,0.09,0.11,0.12,0.24,0.34,0.3,0.4,0.37,0.44,0.48,0.63,0.63
31,"Pinguin","word","animals",0.05,0.11,0.14,0.17,0.29,0.37,0.35,0.52,0.53,0.45,0.56,0.72,0.73
32,"Schwein","word","animals",0.08,0.16,0.21,0.35,0.49,0.51,0.58,0.68,0.77,0.74,0.8,0.85,0.96
33,"Pony","word","animals",0.02,0.1,0.06,0.13,0.12,0.23,0.16,0.41,0.37,0.43,0.38,0.47,0.49
34,"Biene","word","animals",0.13,0.22,0.21,0.36,0.45,0.47,0.55,0.65,0.77,0.67,0.81,0.84,0.85
35,"Gans","word","animals",0.06,0.13,0.09,0.1,0.19,0.38,0.29,0.36,0.35,0.44,0.45,0.63,0.61
36,"Eichhörnchen","word","animals",0.05,0.08,0.08,0.16,0.11,0.26,0.3,0.43,0.36,0.4,0.48,0.64,0.65
