"num_item_id","definition","type","category","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
1,"а-а-а","word","sounds",0.69,0.59,0.49,0.63,0.37,0.41,0.34,0.27,0.37,0.18,0.15,0.12,0.16,0.1,0.11,0.07,0.07,0.02,0.08
2,"ав","word","sounds",0.86,0.9,0.71,0.72,0.55,0.54,0.51,0.45,0.5,0.4,0.27,0.22,0.25,0.11,0.18,0.11,0.12,0.04,0.12
3,"алё","word","sounds",0.52,0.66,0.6,0.51,0.43,0.46,0.36,0.5,0.5,0.42,0.2,0.26,0.23,0.18,0.18,0.13,0.14,0.06,0.1
4,"ам-ам/ням-ням","word","sounds",0.69,0.83,0.62,0.65,0.57,0.5,0.48,0.35,0.48,0.35,0.15,0.19,0.22,0.13,0.2,0.09,0.1,0.04,0.1
5,"бе","word","sounds",0.36,0.37,0.58,0.33,0.25,0.36,0.33,0.35,0.33,0.28,0.23,0.21,0.17,0.11,0.22,0.05,0.07,0.04,0.06
6,"биби","word","sounds",0.62,0.61,0.58,0.47,0.47,0.57,0.36,0.33,0.38,0.35,0.18,0.22,0.19,0.11,0.22,0.09,0.09,0.02,0.12
7,"бл-бл","word","sounds",0.02,0.07,0.04,0.09,0.04,0.04,0,0.05,0.02,0.05,0.03,0.03,0.03,0,0.09,0,0,0,0
8,"брр/ввв и т.п.","word","sounds",0.57,0.61,0.53,0.53,0.27,0.21,0.28,0.23,0.29,0.2,0.05,0.1,0.13,0.07,0.16,0.09,0.03,0,0.08
9,"бух/бах/бам","word","sounds",0.79,0.88,0.64,0.67,0.57,0.48,0.46,0.39,0.5,0.37,0.23,0.26,0.22,0.11,0.15,0.09,0.1,0.02,0.16
10,"га-га","word","sounds",0.55,0.73,0.64,0.58,0.43,0.46,0.41,0.38,0.46,0.32,0.22,0.22,0.23,0.1,0.2,0.07,0.05,0.04,0.14
11,"динь-динь","word","sounds",0.14,0.24,0.36,0.28,0.2,0.23,0.18,0.2,0.21,0.15,0.08,0.16,0.13,0.11,0.15,0.02,0.02,0.02,0.1
12,"жж","word","sounds",0.33,0.37,0.47,0.4,0.25,0.25,0.28,0.26,0.31,0.23,0.12,0.12,0.14,0.05,0.18,0.07,0.07,0.02,0.08
13,"иа","word","sounds",0.21,0.27,0.4,0.23,0.2,0.23,0.16,0.21,0.25,0.17,0.13,0.12,0.09,0.08,0.15,0.04,0.02,0.02,0.06
14,"иго-го/цока-ющий звук","word","sounds",0.6,0.63,0.62,0.63,0.53,0.5,0.44,0.41,0.46,0.35,0.25,0.22,0.21,0.15,0.2,0.07,0.12,0.04,0.12
15,"кап-кап","word","sounds",0.43,0.54,0.51,0.56,0.47,0.48,0.38,0.39,0.4,0.38,0.25,0.24,0.21,0.16,0.24,0.09,0.07,0.02,0.12
16,"кар","word","sounds",0.64,0.59,0.56,0.56,0.39,0.5,0.41,0.44,0.42,0.37,0.22,0.28,0.22,0.11,0.18,0.07,0.12,0,0.12
17,"ква","word","sounds",0.36,0.63,0.56,0.47,0.35,0.43,0.39,0.35,0.44,0.28,0.23,0.21,0.19,0.08,0.16,0.07,0.09,0.02,0.14
18,"ко-ко","word","sounds",0.69,0.66,0.64,0.58,0.51,0.5,0.52,0.48,0.48,0.4,0.25,0.26,0.26,0.13,0.22,0.11,0.07,0.02,0.1
