"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
1,"Bom Bang (撞擊聲)","word","sounds",0.24,0.38,0.44,0.41,0.64,0.49,0.54,0.55,0.59,0.62,0.69,0.66,0.76,0.72,0.75
2,"喂?/ 喂!","word","sounds",0.6,0.62,0.64,0.7,0.82,0.86,0.79,0.93,0.87,0.94,0.96,0.97,0.97,0.99,0.97
3,"哎吔","word","sounds",0.53,0.59,0.55,0.58,0.77,0.69,0.75,0.73,0.85,0.86,0.9,0.87,0.89,0.89,0.87
4,"Mem Mem (好味)","word","sounds",0.49,0.46,0.39,0.44,0.45,0.47,0.46,0.5,0.4,0.38,0.4,0.31,0.39,0.41,0.32
5,"𠼭𠼭 (車聲)","word","sounds",0.13,0.2,0.24,0.29,0.34,0.4,0.44,0.55,0.53,0.62,0.69,0.65,0.65,0.77,0.69
6,"Bi Boo (救傷車聲)","word","sounds",0.02,0.15,0.11,0.2,0.12,0.17,0.21,0.38,0.34,0.4,0.46,0.61,0.5,0.66,0.5
7,"嘭嘭 (槍聲)","word","sounds",0.16,0.2,0.21,0.27,0.41,0.36,0.37,0.5,0.57,0.57,0.6,0.68,0.68,0.7,0.69
8,"Wou Wou (狗吠聲)","word","sounds",0.38,0.43,0.39,0.48,0.66,0.54,0.7,0.62,0.62,0.74,0.81,0.87,0.88,0.85,0.81
9,"喵 (貓叫聲)","word","sounds",0.16,0.38,0.32,0.32,0.52,0.42,0.51,0.53,0.59,0.68,0.66,0.74,0.73,0.83,0.81
10,"咩咩 (羊叫聲)","word","sounds",0.02,0.05,0.05,0.06,0.16,0.1,0.19,0.14,0.22,0.15,0.25,0.29,0.33,0.39,0.43
11,"呷呷 (鴨叫聲)","word","sounds",0.11,0.1,0.14,0.21,0.26,0.26,0.32,0.31,0.32,0.37,0.42,0.52,0.44,0.52,0.53
12,"吱吱 (雀叫聲)","word","sounds",0.11,0.13,0.09,0.18,0.25,0.33,0.29,0.26,0.24,0.2,0.43,0.44,0.5,0.49,0.46
