"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
1,"brr-brr","word","sounds",0.54,0.56,0.59,0.67,0.5,0.41,0.58,0.54,0.6,0.63,0.45,0.52,0.62,0.5,0.5
2,"Ga-ga","word","sounds",0.38,0.48,0.45,0.67,0.58,0.41,0.38,0.5,0.7,0.47,0.62,0.44,0.71,0.57,0.43
3,"grr","word","sounds",0.15,0.12,0.36,0.19,0.23,0.14,0.29,0.31,0.37,0.23,0.28,0.32,0.38,0.25,0.25
4,"jao","word","sounds",0.15,0.32,0.45,0.62,0.54,0.55,0.62,0.69,0.8,0.67,0.62,0.8,0.76,0.68,0.71
5,"ku-ku (sound)","word","sounds",0.54,0.48,0.59,0.71,0.62,0.76,0.79,0.85,0.77,0.6,0.79,0.8,0.81,0.75,0.82
6,"kukurikuuu","word","sounds",0,0.12,0.27,0.24,0.38,0.34,0.46,0.46,0.6,0.43,0.55,0.64,0.62,0.75,0.71
7,"kva-kva","word","sounds",0.23,0.16,0.23,0.1,0.27,0.34,0.46,0.46,0.57,0.27,0.62,0.52,0.52,0.68,0.57
8,"mijau","word","sounds",0.62,0.44,0.55,0.43,0.65,0.72,0.75,0.69,0.9,0.83,0.83,0.92,0.9,0.96,0.86
9,"muu","word","sounds",0.38,0.6,0.73,0.71,0.81,0.76,0.75,0.69,0.93,0.77,0.79,0.84,0.95,0.89,0.82
10,"njam-njam","word","sounds",0.23,0.2,0.27,0.29,0.35,0.14,0.29,0.27,0.53,0.37,0.28,0.4,0.57,0.43,0.36
11,"tu-tu","word","sounds",0.08,0.52,0.55,0.48,0.62,0.62,0.67,0.65,0.87,0.77,0.72,0.8,0.81,0.79,0.79
12,"vau-vau","word","sounds",0.77,0.84,0.91,0.95,0.88,0.97,0.96,1,1,0.83,1,1,0.95,0.96,0.96
13,"buba","word","animals",0.15,0.2,0.45,0.19,0.31,0.41,0.58,0.62,0.7,0.63,0.66,0.76,0.76,0.64,0.86
14,"guska","word","animals",0,0.04,0.18,0.24,0.12,0.14,0.29,0.5,0.53,0.33,0.45,0.6,0.9,0.64,0.79
15,"jelen","word","animals",0,0.08,0,0,0.19,0.1,0.21,0.15,0.3,0.2,0.31,0.52,0.62,0.43,0.5
16,"koka","word","animals",0.23,0.4,0.59,0.67,0.65,0.69,0.79,0.81,0.87,0.93,0.93,1,0.95,0.82,1
17,"konj","word","animals",0.23,0.16,0.41,0.48,0.5,0.69,0.75,0.69,0.8,0.9,0.9,1,1,0.93,1
18,"kornjača","word","animals",0,0,0.09,0.1,0.08,0,0.38,0.31,0.27,0.33,0.41,0.64,0.62,0.5,0.64
19,"koza","word","animals",0.08,0.04,0.18,0.24,0.23,0.24,0.38,0.27,0.57,0.5,0.48,0.68,0.67,0.68,0.68
20,"krava","word","animals",0.08,0.2,0.5,0.33,0.58,0.55,0.5,0.65,0.8,0.83,0.93,1,1,0.93,0.93
21,"krokodil","word","animals",0,0.08,0,0.1,0.12,0.07,0.29,0.38,0.23,0.33,0.38,0.6,0.76,0.57,0.57
22,"lane","word","animals",0,0,0.05,0.05,0.19,0.07,0.12,0.31,0.33,0.13,0.28,0.36,0.43,0.46,0.46
23,"lav","word","animals",0.08,0.16,0.14,0.24,0.31,0.31,0.42,0.5,0.63,0.67,0.55,0.88,0.9,0.71,0.93
24,"leptir","word","animals",0,0,0.05,0.1,0.27,0.07,0.33,0.42,0.5,0.33,0.45,0.72,0.67,0.5,0.82
25,"lisica","word","animals",0.08,0.16,0.27,0.19,0.38,0.31,0.46,0.46,0.73,0.63,0.62,0.88,0.9,0.82,0.86
26,"mačka","word","animals",0.23,0.4,0.59,0.76,0.85,0.79,0.88,0.88,0.97,0.97,0.83,1,0.95,0.93,0.96
27,"magarac","word","animals",0,0,0.09,0.19,0.15,0.1,0.21,0.38,0.33,0.33,0.34,0.52,0.67,0.61,0.68
28,"majmun","word","animals",0,0.28,0.14,0.24,0.46,0.38,0.5,0.5,0.7,0.7,0.69,0.76,0.9,0.68,0.82
29,"medo (igračka)","word","animals",0.38,0.44,0.55,0.57,0.77,0.76,0.83,0.81,0.87,0.93,0.93,1,1,0.93,1
30,"medvjed (životinja)","word","animals",0,0.04,0,0,0.23,0.1,0.17,0.27,0.23,0.3,0.28,0.36,0.43,0.36,0.5
31,"miš","word","animals",0,0.28,0.36,0.43,0.65,0.59,0.67,0.65,0.8,0.87,0.79,0.88,1,0.86,0.96
32,"mrav","word","animals",0,0.08,0.32,0.1,0.27,0.24,0.42,0.42,0.53,0.4,0.59,0.8,0.67,0.54,0.75
33,"ovca","word","animals",0.08,0.04,0.18,0.24,0.23,0.24,0.38,0.27,0.57,0.5,0.48,0.68,0.67,0.68,0.68
34,"pas","word","animals",0.46,0.28,0.45,0.52,0.69,0.66,0.75,0.73,0.9,0.83,0.97,0.96,0.95,0.89,0.96
35,"patka","word","animals",0.15,0.08,0.18,0.29,0.38,0.52,0.5,0.38,0.57,0.43,0.76,0.6,0.86,0.75,0.82
36,"pčela","word","animals",0,0,0.05,0.1,0.08,0.07,0.25,0.23,0.3,0.3,0.41,0.36,0.48,0.5,0.61
37,"pijetao","word","animals",0,0.08,0.09,0.24,0.15,0.17,0.29,0.35,0.33,0.37,0.41,0.56,0.52,0.57,0.43
38,"pile","word","animals",0.08,0.24,0.36,0.52,0.62,0.52,0.58,0.77,0.73,0.73,0.79,0.88,0.9,0.79,0.93
39,"pingvin","word","animals",0,0.04,0.05,0.14,0.19,0.07,0.12,0.19,0.1,0.33,0.38,0.4,0.38,0.39,0.5
40,"prase","word","animals",0.08,0.04,0.27,0.43,0.46,0.41,0.46,0.62,0.7,0.77,0.72,0.84,0.95,0.89,0.93
41,"ptica","word","animals",0.23,0.28,0.5,0.43,0.77,0.59,0.75,0.65,0.93,0.77,0.9,0.92,1,0.82,0.96
