"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
1,"av","word","sounds",0.66,0.81,0.88,0.91,0.96,0.94,0.97,0.99,0.97,0.99,1,0.99,0.98,0.99,0.99,0.99,0.96,1,0.99,0.99,1
2,"mjav","word","sounds",0.43,0.41,0.56,0.64,0.71,0.75,0.81,0.89,0.87,0.87,0.94,0.95,0.95,0.95,0.97,0.97,0.97,0.99,0.99,0.96,0.98
3,"rap","word","sounds",0.38,0.43,0.59,0.57,0.69,0.68,0.83,0.76,0.88,0.91,0.93,0.91,0.88,0.93,0.95,0.94,0.94,0.96,0.93,0.96,0.98
4,"fut","word","sounds",0.08,0.15,0.23,0.26,0.34,0.39,0.56,0.55,0.56,0.72,0.8,0.8,0.75,0.84,0.87,0.82,0.84,0.91,0.84,0.89,0.84
5,"muh","word","sounds",0.52,0.59,0.7,0.76,0.81,0.79,0.89,0.89,0.9,0.96,0.97,0.96,0.96,0.97,0.97,0.99,0.99,0.99,0.99,0.96,1
6,"vov","word","sounds",0.71,0.82,0.88,0.91,0.95,0.96,0.96,0.98,0.99,1,0.99,1,0.98,0.99,0.99,0.98,0.99,1,0.99,0.98,1
7,"grrrr","word","sounds",0.43,0.35,0.49,0.55,0.51,0.48,0.61,0.59,0.57,0.59,0.66,0.64,0.7,0.72,0.68,0.71,0.7,0.82,0.76,0.81,0.72
8,"mæh","word","sounds",0.19,0.27,0.44,0.44,0.5,0.59,0.74,0.74,0.78,0.83,0.85,0.88,0.86,0.91,0.92,0.93,0.94,0.96,0.94,0.93,0.97
9,"åh åhh (ups)","word","sounds",0.38,0.47,0.54,0.58,0.62,0.61,0.65,0.68,0.67,0.72,0.78,0.85,0.75,0.82,0.88,0.85,0.79,0.92,0.92,0.89,0.87
10,"kykliky","word","sounds",0.11,0.15,0.26,0.28,0.38,0.37,0.51,0.53,0.53,0.63,0.77,0.7,0.69,0.73,0.76,0.77,0.78,0.87,0.78,0.82,0.87
11,"mm mm (lækkert)","word","sounds",0.83,0.81,0.86,0.86,0.8,0.83,0.87,0.89,0.86,0.86,0.92,0.9,0.88,0.89,0.87,0.91,0.89,0.9,0.94,0.96,0.91
12,"årnnn (bil-lyd)","word","sounds",0.58,0.63,0.67,0.68,0.71,0.72,0.8,0.78,0.76,0.81,0.82,0.82,0.78,0.8,0.79,0.82,0.8,0.84,0.8,0.85,0.86
13,"abe","word","animals",0.04,0.07,0.11,0.17,0.29,0.34,0.5,0.57,0.67,0.78,0.82,0.85,0.84,0.92,0.94,0.94,0.99,0.95,0.97,0.98,1
14,"gås","word","animals",0.01,0.01,0.05,0.04,0.08,0.11,0.13,0.18,0.21,0.25,0.27,0.27,0.33,0.41,0.35,0.35,0.52,0.52,0.48,0.59,0.59
15,"løve","word","animals",0.04,0.05,0.08,0.18,0.23,0.25,0.41,0.5,0.57,0.7,0.78,0.84,0.83,0.86,0.89,0.94,0.97,0.97,0.98,0.97,0.98
16,"and","word","animals",0.07,0.11,0.17,0.2,0.38,0.38,0.54,0.52,0.67,0.76,0.83,0.87,0.83,0.87,0.92,0.91,0.96,0.93,0.96,0.98,0.98
17,"hane","word","animals",0.01,0.02,0.03,0.06,0.12,0.14,0.24,0.28,0.34,0.41,0.47,0.44,0.45,0.64,0.57,0.53,0.66,0.66,0.65,0.72,0.76
18,"mus","word","animals",0.03,0.03,0.13,0.19,0.29,0.34,0.51,0.53,0.66,0.8,0.82,0.84,0.85,0.91,0.94,0.95,0.97,0.96,0.97,0.99,0.98
19,"bamse","word","animals",0.17,0.25,0.42,0.46,0.51,0.61,0.72,0.78,0.81,0.83,0.93,0.89,0.95,0.92,0.97,0.96,0.99,0.99,1,1,0.99
20,"hest","word","animals",0.09,0.15,0.26,0.31,0.47,0.51,0.66,0.66,0.8,0.81,0.93,0.93,0.94,0.93,0.96,0.96,0.99,0.98,0.99,0.99,1
21,"myg","word","animals",0.01,0.01,0.02,0.03,0.02,0.07,0.11,0.14,0.2,0.25,0.33,0.36,0.36,0.42,0.43,0.66,0.69,0.72,0.7,0.8,0.77
22,"bi","word","animals",0.02,0.09,0.17,0.24,0.29,0.36,0.47,0.46,0.66,0.66,0.72,0.74,0.71,0.75,0.82,0.85,0.85,0.9,0.87,0.95,0.96
23,"hjort","word","animals",0,0,0.01,0.01,0.04,0.04,0.06,0.04,0.1,0.11,0.11,0.15,0.09,0.2,0.16,0.23,0.29,0.34,0.27,0.32,0.28
24,"myre","word","animals",0.02,0.03,0.08,0.07,0.18,0.21,0.3,0.37,0.5,0.55,0.62,0.65,0.77,0.77,0.8,0.78,0.83,0.83,0.82,0.9,0.9
25,"bjørn","word","animals",0.01,0.03,0.04,0.06,0.1,0.18,0.25,0.32,0.39,0.47,0.53,0.6,0.61,0.65,0.72,0.75,0.85,0.82,0.87,0.91,0.94
26,"hvalp","word","animals",0,0.01,0.02,0.02,0.02,0.06,0.03,0.08,0.12,0.22,0.19,0.2,0.25,0.3,0.33,0.36,0.48,0.47,0.47,0.57,0.52
27,"pingvin","word","animals",0.01,0.01,0.03,0.03,0.1,0.1,0.17,0.19,0.31,0.33,0.42,0.52,0.51,0.6,0.68,0.65,0.66,0.75,0.71,0.81,0.79
28,"dyr","word","animals",0.01,0.03,0.09,0.11,0.14,0.22,0.34,0.38,0.5,0.55,0.65,0.71,0.63,0.7,0.82,0.76,0.85,0.87,0.9,0.97,0.92
29,"hund","word","animals",0.15,0.26,0.34,0.44,0.63,0.64,0.72,0.79,0.88,0.87,0.94,0.96,0.96,0.96,0.98,0.98,1,0.99,0.99,0.99,1
30,"pony","word","animals",0.01,0.01,0.01,0.01,0.01,0.05,0.04,0.08,0.1,0.12,0.14,0.19,0.15,0.26,0.25,0.27,0.34,0.42,0.31,0.48,0.44
